MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,StageAClass,SeedMatchKeys,SeedDisplayForms,SeedDefinitions,NeedsSenseReview
different,different,"adj. 不同的;个别的,与众不同的",4年级下,1,exact-surface-overlap,different,different,"adj. 不同的;个别的,与众不同的",yes
dirty,dirty,"adj. 下流的,卑鄙的;肮脏的;恶劣的;暗淡的 vt. 弄脏 vi. 变脏",4年级上|5年级下,2,exact-surface-overlap,dirty,dirty,"adj. 下流的,卑鄙的;肮脏的;恶劣的;暗淡的 vt. 弄脏 vi. 变脏",yes
do,do,"vi. 行,足够;生长 n. 要求;规定;C大调音阶中的第一音 v. 做;干;学习;研究;进行;完成;解答;整理;算出;引起;行过 aux. 助动词(构成疑问句和否定句);(代替动词);(用于加强语气) n. (口语)事件;(主英国口语)诈骗;(主英国、新西兰口语)宴会;(口语)必须做到的事情",1年级上,1,exact-surface-overlap,do,do,"vi. 行,足够;生长 n. 要求;规定;C大调音阶中的第一音 v. 做;干;学习;研究;进行;完成;解答;整理;算出;引起;行过 aux. 助动词(构成疑问句和否定句);(代替动词);(用于加强语气) n. (口语)事件;(主英国口语)诈骗;(主英国、新西兰口语)宴会;(口语)必须做到的事情",yes
doctor,doctor,"vt. 修理;篡改,伪造;为...治病;授以博士学位 n. 医生;博士 vi. 就医;行医",4年级上,1,exact-surface-overlap,doctor,doctor,"vt. 修理;篡改,伪造;为...治病;授以博士学位 n. 医生;博士 vi. 就医;行医",yes
dog,dog,n. 狗;丑女人;卑鄙的人;(俚)朋友 vt. 跟踪;尾随,1年级上|3年级上,2,exact-surface-overlap,dog,dog,n. 狗;丑女人;卑鄙的人;(俚)朋友 vt. 跟踪;尾随,yes
door,door,"n. 门;家,户;门口;通道",1年级下|3年级下,2,exact-surface-overlap,door,door,"n. 门;家,户;门口;通道",yes
dress,dress,n. 连衣裙;女装 vt. 给...穿衣 vi. 穿衣,1年级下|3年级上,2,exact-surface-overlap,dress,dress,n. 连衣裙;女装 vt. 给...穿衣 vi. 穿衣,yes
drink,drink,"n. 酒,饮料;喝酒 vt. 喝,饮;吸收;举杯庆贺 vi. 喝酒;饮水;干杯",5年级下,1,exact-surface-overlap,drink,drink,"n. 酒,饮料;喝酒 vt. 喝,饮;吸收;举杯庆贺 vi. 喝酒;饮水;干杯",yes
duck,duck,n. 鸭子;鸭肉;(英)宝贝儿;零分 vt. 躲避;猛按...入水 vi. 闪避;没入水中,3年级上,1,exact-surface-overlap,duck,duck,n. 鸭子;鸭肉;(英)宝贝儿;零分 vt. 躲避;猛按...入水 vi. 闪避;没入水中,yes
ear,ear,n. 耳朵;穗;听觉;倾听 vi. (美俚)听见;抽穗,1年级上|3年级上,2,exact-surface-overlap,ear,ear,n. 耳朵;穗;听觉;倾听 vi. (美俚)听见;抽穗,yes
early,early,adj. 早期的;早熟的 adv. 提早;在初期,5年级下,1,exact-surface-overlap,early,early,adj. 早期的;早熟的 adv. 提早;在初期,yes
earth,earth,"n. 地球;地表,陆地;土地,土壤;尘事,俗事;兽穴 vt. 把(电线)[电] 接地;盖(土);追赶入洞穴 vi. 躲进地洞",4年级上,1,exact-surface-overlap,earth,earth,"n. 地球;地表,陆地;土地,土壤;尘事,俗事;兽穴 vt. 把(电线)[电] 接地;盖(土);追赶入洞穴 vi. 躲进地洞",yes
east,east,"n. 东方;东风;东方国家 adj. 东方的;向东的;从东方来的 adv. 向东方,在东方",6年级上,1,exact-surface-overlap,east,east,"n. 东方;东风;东方国家 adj. 东方的;向东的;从东方来的 adv. 向东方,在东方",yes
