SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
niujin_shanghai_start1|g1-lower|r035|dress,niujin_shanghai_start1,1年级下,1,下,35,dress,dress,[dres],[dres],n. 连衣裙;女装 vt. 给...穿衣 vi. 穿衣,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r036|shorts,niujin_shanghai_start1,1年级下,1,下,36,shorts,shorts,[ʃɔːts],[ʃɔːrts],n. 短裤,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r037|blouse,niujin_shanghai_start1,1年级下,1,下,37,blouse,blouse,[blaʊz],[blaʊs],n. 宽松的上衣;女装衬衫 vt. 使...宽松下垂 vi. 宽松下垂,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r038|ride,niujin_shanghai_start1,1年级下,1,下,38,ride,ride,[raɪd],[raɪd],n. 骑;乘坐;交通工具;可供骑行的路;(乘坐汽车等的)旅行;乘骑;(乘车或骑车的)短途旅程;供乘骑的游乐设施 vi. 骑马;乘车;依靠;漂浮 vt. 骑;乘;控制;(骑马、自行车等)穿越;搭乘;飘浮,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r039|skip,niujin_shanghai_start1,1年级下,1,下,39,skip,skip,[skɪp],[skɪp],n. 跳跃;跳读 vt. 跳过;遗漏 vi. 跳跃;跳绳;遗漏;跳读,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r040|play,niujin_shanghai_start1,1年级下,1,下,40,play,play,[pleɪ],[pleɪ],n. 游戏;比赛;剧本 vt. 游戏;扮演;演奏;播放;同...比赛 vi. 演奏;玩耍;上演;参加比赛,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r041|fly,niujin_shanghai_start1,1年级下,1,下,41,fly,fly,[flaɪ],[flaɪ],n. 飞行;苍蝇;两翼昆虫 adj. 敏捷的 vi. 飞;驾驶飞机;飘扬 vt. 飞行;飞越;使飘扬,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r042|gift,niujin_shanghai_start1,1年级下,1,下,42,gift,gift,[ɡɪft],[ɡɪft],n. 礼物;天赋;赠品 vt. 赋予;向...赠送,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r043|card,niujin_shanghai_start1,1年级下,1,下,43,card,card,[kɑːd],[kɑːrd],n. 卡片;纸牌;明信片 vt. 记于卡片上,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r044|firecracker,niujin_shanghai_start1,1年级下,1,下,44,firecracker,firecracker,[ˈfaɪəkrækə(r)],[ˈfaɪərkrækər],"n. 鞭炮,爆竹",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r045|firework,niujin_shanghai_start1,1年级下,1,下,45,firework,firework,[ˈfaɪəwɜːk],[ˈfaɪərwɜːrk],n. 烟火;激烈情绪,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r046|boy,niujin_shanghai_start1,1年级下,1,下,46,boy,boy,[bɔɪ],[bɔɪ],n. 男孩;男人,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r047|wolf,niujin_shanghai_start1,1年级下,1,下,47,wolf,wolf,[wʊlf],[wʊlf],n. 狼;色狼;残忍贪婪之人 vt. 大吃;狼吞虎咽地吃,牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g1-lower|r048|farmer,niujin_shanghai_start1,1年级下,1,下,48,farmer,farmer,[ˈfɑːmə(r)],[ˈfɑːrmər],"n. 农夫,农民",牛津上海版一年级下册.xlsx
niujin_shanghai_start1|g2-upper|r002|morning,niujin_shanghai_start1,2年级上,2,上,2,morning,morning,[ˈmɔːnɪŋ],[ˈmɔːrnɪŋ],n. 早晨;黎明;初期,牛津上海版二年级上册.xlsx
niujin_shanghai_start1|g2-upper|r003|afternoon,niujin_shanghai_start1,2年级上,2,上,3,afternoon,afternoon,[ˌɑːftəˈnuːn],[ˌæftərˈnuːn],"n. 午后,下午",牛津上海版二年级上册.xlsx
niujin_shanghai_start1|g2-upper|r004|evening,niujin_shanghai_start1,2年级上,2,上,4,evening,evening,[ˈiːvnɪŋ],[ˈiːvnɪŋ],n. 晚上;傍晚;(联欢性的)晚会;后期 adj. 在晚上的;为晚上的;晚上用的 int. 晚上好(等于good evening),牛津上海版二年级上册.xlsx
niujin_shanghai_start1|g2-upper|r005|night,niujin_shanghai_start1,2年级上,2,上,5,night,night,[naɪt],[naɪt],"n. 夜晚,晚上;黑暗,黑夜 adj. 夜晚的,夜间的",牛津上海版二年级上册.xlsx
niujin_shanghai_start1|g2-upper|r006|boy,niujin_shanghai_start1,2年级上,2,上,6,boy,boy,[bɔɪ],[bɔɪ],n. 男孩;男人,牛津上海版二年级上册.xlsx
niujin_shanghai_start1|g2-upper|r007|girl,niujin_shanghai_start1,2年级上,2,上,7,girl,girl,[ɡɜːl],[ɡɜːrl],"n. 女孩;姑娘,未婚女子;女职员,女演员;(男人的)女朋友 n. (捷)吉尔",牛津上海版二年级上册.xlsx
niujin_shanghai_start1|g2-upper|r008|big,niujin_shanghai_start1,2年级上,2,上,8,big,big,[bɪɡ],[bɪɡ],adj. 大的;重要的;量大的 adv. 大量地;顺利;夸大地,牛津上海版二年级上册.xlsx
