NoteID,OriginType,ReleaseState,CanonicalWord,Word,SenseLabel,MeaningPrimary,ExistingBritish,ExistingAmerican,MissingSides,OriginalBritishEvidenceStatus,OriginalAmericanEvidenceStatus,OriginalBritishCandidate,OriginalAmericanCandidate,CandidateBritish,CandidateAmerican,CandidateEngine,CandidateEngineVersion,CandidateBritishVoice,CandidateAmericanVoice,RiskFlags
KV001609,new-third-party-stable,unreleased,dog sledding,dog sledding,狗拉雪橇活动,狗拉雪橇活动,,,British+American,missing,missing,,,[dˈɒɡ slˈɛdɪŋ],[dˈɑːɡ slˈɛdɪŋ],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001613,new-third-party-stable,unreleased,Donald Duck,Donald Duck,唐老鸭,唐老鸭,,,British+American,missing,missing,,,[dˈɒnəld dˈʌk],[dˈɑːnəld dˈʌk],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV001617,new-third-party-stable,unreleased,dotted line,dotted line,虚线,虚线,,,British+American,missing,missing,,,[dˈɒtɪd lˈaɪn],[dˈɑːɾᵻd lˈaɪn],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001618,new-third-party-stable,unreleased,Double Ninth Festival,Double Ninth Festival,重阳节,重阳节,,,British+American,missing,missing,,,[dˈʌbəl nˈaɪnθ fˈɛstɪvəl],[dˈʌbəl nˈaɪnθ fˈɛstɪvəl],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV001623,new-third-party-stable,unreleased,dragon boat,dragon boat,龙舟,龙舟,,,British+American,missing,missing,,,[dɹˈaɡən bˈəʊt],[dɹˈæɡən bˈoʊt],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001624,new-third-party-stable,unreleased,Dragon Boat Festival,Dragon Boat Festival,端午节,端午节,,,British+American,missing,missing,,,[dɹˈaɡən bˈəʊt fˈɛstɪvəl],[dɹˈæɡən bˈoʊt fˈɛstɪvəl],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword proper-case
KV001625,new-third-party-stable,unreleased,dragon boat race,dragon boat race,龙舟赛,龙舟赛,,,British+American,missing,missing,,,[dɹˈaɡən bˈəʊt ɹˈeɪs],[dɹˈæɡən bˈoʊt ɹˈeɪs],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001628,new-third-party-stable,unreleased,draw,draw,画；绘画,画；绘画,,,British+American,conflicting-evidence,conflicting-evidence,[drɔː],[drɔː],[dɹˈɔː],[dɹˈɔː],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,
KV001629,new-third-party-stable,unreleased,draw cartoons,draw cartoons,画卡通；画漫画,画卡通；画漫画,,,British+American,missing,missing,,,[dɹˈɔː kɑːtˈuːnz],[dɹˈɔː kɑːɹtˈuːnz],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
KV001633,new-third-party-stable,unreleased,drink cold drinks,drink cold drinks,喝冷饮,喝冷饮,,,British+American,missing,missing,,,[dɹˈɪŋk kˈəʊld dɹˈɪŋks],[dɹˈɪŋk kˈoʊld dɹˈɪŋks],espeak-ng,eSpeak NG text-to-speech: 1.51  Data at: /usr/lib/x86_64-linux-gnu/espeak-ng-data,en-gb,en-us,multiword
