SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
shaanxi_start3|g3-upper|r051|tiger,shaanxi_start3,3年级上,3,上,51,tiger,tiger,,,n. 老虎;凶暴的人,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r052|it's,shaanxi_start3,3年级上,3,上,52,it's,it's,,,abbr. 它的(it has);它是(it is),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r053|it is,shaanxi_start3,3年级上,3,上,53,it is,it is,,,它是;是的;这是,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r054|a,shaanxi_start3,3年级上,3,上,54,a,a,,,n. 字母A;第一流的;学业成绩达最高标准的评价符号 abbr. [物]安(ampere),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r055|no,shaanxi_start3,3年级上,3,上,55,no,no,,,adv. 不 adj. 没有;不是 n. 不;否决票 abbr. 数字(number);元素锘(nobelium)的符号,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r056|it,shaanxi_start3,3年级上,3,上,56,it,it,,,abbr. 信息技术information technology abbr. 意大利Italy;意大利的Italian,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r057|isn't,shaanxi_start3,3年级上,3,上,57,isn't,isn't,,,不是(等于is not),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r058|is not,shaanxi_start3,3年级上,3,上,58,is not,is not,,,,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r059|look,shaanxi_start3,3年级上,3,上,59,look,look,,,vt. 看;期待;注意;面向;看上去像 vi. 看;看起来;注意;面向 n. 看;样子;面容,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r060|that,shaanxi_start3,3年级上,3,上,60,that,that,,,conj. 因为;以至于 adj. 那;那个 pron. 那;那个 adv. 那么;那样,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r061|yes,shaanxi_start3,3年级上,3,上,61,yes,yes,,,"n. 是(表示肯定) adv. 是, 是的",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r062|an,shaanxi_start3,3年级上,3,上,62,an,an,,,art. 一(在元音音素前),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r063|umbrella,shaanxi_start3,3年级上,3,上,63,umbrella,umbrella,,,n. 雨伞;保护伞;庇护;伞形结构,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r064|vegetable,shaanxi_start3,3年级上,3,上,64,vegetable,vegetable,,,n. 蔬菜;植物;植物人 adj. 蔬菜的;植物的,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r065|water,shaanxi_start3,3年级上,3,上,65,water,water,,,"n. 水;海水;雨水;海域,大片的水 vt. 使湿;供以水;给...浇水 vi. 加水;流泪;流口水",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r066|box,shaanxi_start3,3年级上,3,上,66,box,box,,,"n. 箱,盒子;包厢;一拳 vt. 拳击;装...入盒中;打耳光 vi. 拳击",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r067|yellow,shaanxi_start3,3年级上,3,上,67,yellow,yellow,,,n. 黄色;黄种人;黄色颜料 adj. 黄色的;黄皮肤的 vt. 使变黄或发黄 vi. 变黄或发黄,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r068|zoo,shaanxi_start3,3年级上,3,上,68,zoo,zoo,,,n. 动物园; <美俚>(铁路货车的最后一节)守车; <美俚>核粒子园,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r069|i,shaanxi_start3,3年级上,3,上,69,I,i,,,n. 碘元素;英语字母I pron. 我,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r070|have,shaanxi_start3,3年级上,3,上,70,have,have,,,aux. 已经 vt. 有;让;拿;从事;允许,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r071|bag,shaanxi_start3,3年级上,3,上,71,bag,bag,,,"n. 袋;猎获物;(俚)一瓶啤酒 vt. 猎获;把...装入袋中;占据,私吞;使膨大 vi. 松垂",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r072|in,shaanxi_start3,3年级上,3,上,72,in,in,,,prep. 按照(表示方式);从事于;在...之内 n. 执政者;门路;知情者 adj. 在里面的;时髦的 adv. 进入;当选;(服装等)时髦;在屋里,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r073|how many,shaanxi_start3,3年级上,3,上,73,how many,how many,,,na. 多少,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r074|eraser,shaanxi_start3,3年级上,3,上,74,eraser,eraser,,,n. 橡皮;擦除器;[计] 清除器,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r075|pencil,shaanxi_start3,3年级上,3,上,75,pencil,pencil,,,n. 铅笔;笔状物 vt. 用铅笔写;用眉笔涂 vi. 成铅笔状,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r076|pen,shaanxi_start3,3年级上,3,上,76,pen,pen,,,n. 钢笔;作家;围栏 vt. 写;关入栏中,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r077|crayon,shaanxi_start3,3年级上,3,上,77,crayon,crayon,,,"n. 蜡笔,有色粉笔 vt. 以蜡笔作画,用颜色粉笔画",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r078|ruler,shaanxi_start3,3年级上,3,上,78,ruler,ruler,,,"n. 尺;统治者;[测] 划线板,划线的人",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r079|book,shaanxi_start3,3年级上,3,上,79,book,book,,,n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r080|do,shaanxi_start3,3年级上,3,上,80,do,do,,,"vi. 行,足够;生长 n. 要求;规定;C大调音阶中的第一音 v. 做;干;学习;研究;进行;完成;解答;整理;算出;引起;行过 aux. 助动词(构成疑问句和否定句);(代替动词);(用于加强语气) n. (口语)事件;(主英国口语)诈骗;(主英国、新西兰口语)宴会;(口语)必须做到的事情",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r081|and,shaanxi_start3,3年级上,3,上,81,and,and,,,"conj. 和,与;就;而且;但是;然后",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r082|some,shaanxi_start3,3年级上,3,上,82,some,some,,,adj. 一些;某个;大约;相当多的 pron. 一些;若干;其中的一部分;(数量不确切时用)有些人 adv. 非常;相当;<美>稍微,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r083|don't,shaanxi_start3,3年级上,3,上,83,don't,don't,,,n. 禁忌(等于do not) aux. 表示否定(等于do not),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r084|what,shaanxi_start3,3年级上,3,上,84,what,what,,,"pron. 什么;多么;多少 adv. 到什么程度,在哪一方面 adj. 什么;多么;何等 int. 什么;多么",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r085|at,shaanxi_start3,3年级上,3,上,85,at,at,,,prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r086|toy,shaanxi_start3,3年级上,3,上,86,toy,toy,,,n. 玩具;小装饰品;不值钱的东西 adj. 作为玩具的;玩物似的 vi. 玩弄;调情;随随便便地对待,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r087|plane,shaanxi_start3,3年级上,3,上,87,plane,plane,,,"n. 飞机;平面;程度,水平 adj. 平的;平面的 vt. 刨平;用刨子刨;掠过水面 vi. 刨;乘飞机旅行;翱翔",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r088|ship,shaanxi_start3,3年级上,3,上,88,ship,ship,,,"n. 船;舰;太空船 vt. 运送,乘船;以船运送 vi. 上船;乘船旅行;当船员",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r089|kite,shaanxi_start3,3年级上,3,上,89,kite,kite,,,n. 风筝 vi. 使用空头支票;像风筝一样飞;轻快地移动 vt. 骗钱;涂改(支票),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r090|car,shaanxi_start3,3年级上,3,上,90,car,car,,,n. 汽车;车厢,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r091|ball,shaanxi_start3,3年级上,3,上,91,ball,ball,,,n. 球;舞会 vt. 捏成球形 vi. 成团块,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r092|bike,shaanxi_start3,3年级上,3,上,92,bike,bike,,,n. 自行车;脚踏车 vi. 骑自行车(或摩托车),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r093|they,shaanxi_start3,3年级上,3,上,93,they,they,,,pron. 他们;它们;她们,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r094|these,shaanxi_start3,3年级上,3,上,94,these,these,,,adj. 这些的 pron. 这些,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r095|those,shaanxi_start3,3年级上,3,上,95,those,those,,,adj. 那些的 pron. 那些(that的复数),陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r096|bear,shaanxi_start3,3年级上,3,上,96,bear,bear,,,"n. 熊 vt. 结果实,开花(正式) vt. 忍受;承受;具有;支撑",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r097|where,shaanxi_start3,3年级上,3,上,97,where,where,,,conj. 在...的地方 n. 地点 adv. 在哪里 pron. 哪里,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r098|live,shaanxi_start3,3年级上,3,上,98,live,live,,,adj. 活的;生动的;实况转播的;精力充沛的 vt. 经历;度过 vi. 活;居住;生存,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r099|one,shaanxi_start3,3年级上,3,上,99,one,one,,,pron. 一个人;任何人 adj. 一的;唯一的 n. 一 num. 一;一个,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r100|two,shaanxi_start3,3年级上,3,上,100,two,two,,,num. 二 n. 两个 adj. 两个的,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r101|panda,shaanxi_start3,3年级上,3,上,101,panda,panda,,,n. 熊猫;猫熊,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r102|three,shaanxi_start3,3年级上,3,上,102,three,three,,,"num. 三 n. 三,三个 adj. 三的,三个的",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r103|four,shaanxi_start3,3年级上,3,上,103,four,four,,,num. 四;四个 adj. 四的;四个的,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r104|monkey,shaanxi_start3,3年级上,3,上,104,monkey,monkey,,,n. 猴子;顽童 vi. 胡闹;捣蛋 vt. 嘲弄,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r105|five,shaanxi_start3,3年级上,3,上,105,five,five,,,"num. 五,五个 n. 五,五个;五美元钞票 adj. 五的;五个的",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r106|elephant,shaanxi_start3,3年级上,3,上,106,elephant,elephant,,,n. 象;大号图画纸,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r107|ten,shaanxi_start3,3年级上,3,上,107,ten,ten,,,"num. 十个,十",陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r108|animal,shaanxi_start3,3年级上,3,上,108,animal,animal,,,n. 动物 动物的,陕西版三年级起点三年级上.xlsx
shaanxi_start3|g3-upper|r109|six,shaanxi_start3,3年级上,3,上,109,six,six,,,"num. 六,六个 n. 六,六个",陕西版三年级起点三年级上.xlsx
